-2.0000e+00,-2.2857e+00,-8.0000e-01,-4.0000e+00,-1.7435e+00,8.0000e+00,4.0000e+00,2.8000e+00,2.8571e-01,2.0000e+00
-2.0000e+00,-2.2857e+00,-2.8000e+00,-2.0000e+00,-2.7538e-01,4.3796e+00,4.0000e+00,5.0537e-01,2.2857e+00,2.0000e+00
-0.0000e+00,-3.3385e-01,-2.7214e-02,-2.6313e-01,-7.9976e-01,5.2510e-01,8.7894e-01,4.2497e-01,1.9438e-01,4.7092e-01
-0.0000e+00,-2.4607e-01,-2.3574e-01,-1.1441e+00,-2.2017e+00,7.8572e-01,6.6308e-01,5.6478e-01,2.8584e-02,0.0000e+00
-2.0000e+00,-1.5310e+00,-2.8000e+00,-1.7676e+00,-8.0000e+00,1.0000e+01,4.0000e+00,2.8000e+00,2.2857e+00,2.0000e+00
-1.4830e+00,-2.8571e-01,-4.2995e-01,-3.5045e-01,-8.1736e+00,2.2942e+00,4.9586e-01,3.4955e-01,2.2857e+00,0.0000e+00
-9.7914e-02,-1.0015e-01,-4.3062e-01,-7.0366e-01,-9.3531e-02,1.8366e+00,8.9457e-01,1.1131e-01,4.6405e-04,0.0000e+00
-3.2314e-02,-9.2535e-02,-2.6414e-01,-1.0159e+00,-2.8429e+00,3.3601e+00,3.7627e-01,2.7099e-01,2.8571e-01,0.0000e+00
-4.1100e-01,-1.8264e-01,-1.1880e-01,-3.6396e-01,-8.8979e-01,5.3963e+00,2.4995e-02,7.4806e-04,2.5661e-01,1.7817e-01
-0.0000e+00,-2.8571e-01,-2.8000e+00,-4.0000e+00,-8.0000e+00,4.4133e+00,4.0000e+00,2.8000e+00,1.7902e+00,2.0000e+00
