1.5767e-01,2.9997e-01,1.8991e-02,1.6554e-01,1.8993e-01,2.5174e-02,9.0037e-02,5.7345e-02,7.4426e-02,9.9612e-02
3.1281e-03,4.1544e-02,9.7918e-03,1.0092e-02,7.4614e-02,4.5548e-02,1.3695e-01,4.2035e-02,1.2416e-01,4.4388e-02
8.2215e-02,4.4535e-02,9.6516e-02,1.1355e-02,3.5968e-02,4.3624e-02,1.4510e-01,8.5266e-03,9.1854e-02,7.7098e-02
2.6744e-02,2.0738e-02,8.6986e-02,6.9325e-02,4.1295e-02,5.6125e-02,7.9516e-03,6.5555e-02,3.9137e-02,7.8310e-03
3.3967e-02,1.0252e-02,1.9422e-02,2.2635e-02,5.2370e-02,8.1031e-03,3.4902e-02,5.7177e-02,2.4224e-02,2.5516e-02
4.9731e-02,1.6890e-02,2.3972e-02,7.4559e-02,7.5151e-02,1.2793e-02,1.0987e-02,2.2985e-03,4.8765e-02,1.4239e-03
1.0351e-02,1.5302e-02,3.4856e-02,3.6284e-02,1.5202e-02,2.4680e-02,4.5364e-02,4.7724e-02,3.9081e-02,4.1205e-02
2.0308e-02,2.3970e-02,9.2392e-05,3.3380e-02,3.6668e-02,4.1384e-02,3.5960e-02,5.1063e-02,5.7792e-02,6.6549e-02
2.4714e-02,5.5337e-03,4.1158e-02,1.8727e-03,2.4712e-03,2.3781e-02,4.4649e-02,1.3328e-02,1.5511e-02,3.6213e-02
1.6171e-03,7.3636e-04,0.0000e+00,0.0000e+00,9.3250e-04,5.6572e-03,0.0000e+00,4.6407e-03,7.1328e-03,0.0000e+00
